name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,lat,long
sinornithosaurus,carnivorous,Early Cretaceous,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Wang and Wu (1999),millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html,33.56397741038529,99.74825986310896
sinosauropteryx,carnivorous,Early Cretaceous,China,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Ji and Ji (1996),prima,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html,39.07922300011976,111.43621012808882
sinovenator,carnivorous,Early Cretaceous,China,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Xu Norell Wang Makovicky and Wu (2002),changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html,42.04532706118388,83.91296904405971
sinraptor,carnivorous,Mid Jurassic,China,large theropod,7.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Gao (1992),hepingensis,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html,33.56397741038529,99.74825986310896
staurikosaurus,carnivorous,Late Triassic,Brazil,large theropod,2.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Colbert (1970),pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html,-2.216232481436222,-62.77624550084617
stegoceras,herbivorous,Late Cretaceous,USA,euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Lambe (1902),validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html,36.6111957036912,-101.52376612503838
stegosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,9.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Marsh (1877),armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html,46.08118528234141,-117.63373925142815
stenopelix,herbivorous,Early Cretaceous,Germany,ceratopsian,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Meyer (1857),valdensis,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html,51.605660718254256,7.434481156019075
struthiomimus,omnivorous,Late Cretaceous,Canada,small theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osborn (1917),altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html,57.01048122766619,-96.72366948227602
struthiosaurus,herbivorous,Late Cretaceous,Spain,armoured dinosaur,2.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Bunzel (1871),austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html,41.71458204339859,-6.561323365549526
styracosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,5.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Lambe (1913),albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html,43.7327862135927,-91.29032576261446
talarurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maleev (1952),plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html,49.08649600682492,98.69640572554516
tarbosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html,49.08649600682492,98.69640572554516
